                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3235,                 6.1278,                 1.9676,                0.16667,                0.16667,                 0.2075,                0.06225,                 2.2268,                 5.1895,                 1.7901,               7.14e-06,               7.14e-06,               7.14e-06
                      2,                 2.4703,                 6.0057,                 2.0547,                0.16667,                0.16667,                 0.2075,                0.06225,                 2.1813,                 5.2498,                 1.7782,             2.1208e-05,             2.1208e-05,             2.1208e-05
                      3,                 2.2038,                 5.4793,                 1.7761,                0.16667,                0.16667,                 0.2075,                0.06225,                  2.044,                 5.2736,                  1.777,             3.4993e-05,             3.4993e-05,             3.4993e-05
                      4,                 2.2501,                 5.3024,                 1.8206,                0.16667,                0.16667,                 0.2075,                0.06225,                 2.0303,                 5.2268,                  1.789,             4.8496e-05,             4.8496e-05,             4.8496e-05
                      5,                 2.1271,                  5.254,                 1.8777,                0.06667,                0.06667,                0.04325,                0.02595,                 2.0183,                 5.8454,                 1.7261,             6.1715e-05,             6.1715e-05,             6.1715e-05
                      6,                 2.1068,                 4.1567,                 1.6358,                0.11111,                0.06667,                0.06667,                   0.04,                 2.0447,                 8.7973,                 1.6719,             7.4652e-05,             7.4652e-05,             7.4652e-05
                      7,                 2.0615,                 3.4613,                 1.5865,                0.22222,                0.26667,                0.21653,                0.11046,                 2.1012,                 11.662,                 1.6555,             8.7306e-05,             8.7306e-05,             8.7306e-05
                      8,                 1.8531,                 2.8709,                 1.5485,                0.90216,                0.33333,                0.27639,                0.14747,                 1.9665,                 10.902,                 1.5499,             9.9678e-05,             9.9678e-05,             9.9678e-05
                      9,                 1.8878,                 2.6629,                 1.4652,                0.89586,                0.33333,                0.25962,                0.14237,                 1.8919,                 9.7246,                 1.4961,             0.00011177,             0.00011177,             0.00011177
                     10,                 1.9115,                 3.0874,                 1.6084,                0.89461,                0.33333,                0.25962,                0.14654,                   1.84,                 7.6303,                 1.4897,             0.00012357,             0.00012357,             0.00012357
                     11,                 1.7599,                 2.6854,                 1.4853,                0.92583,                0.26667,                0.25367,                0.14428,                 1.7895,                 6.3576,                 1.4865,              0.0001351,              0.0001351,              0.0001351
                     12,                  1.739,                 2.6113,                 1.4427,                  0.928,                0.26667,                0.26204,                 0.1506,                 1.7595,                 5.3103,                 1.5027,             0.00014634,             0.00014634,             0.00014634
                     13,                 1.6277,                 2.4672,                 1.4137,                0.93023,                0.26667,                   0.28,                 0.1577,                 1.7911,                 4.4134,                  1.492,             0.00015729,             0.00015729,             0.00015729
                     14,                  1.653,                 3.0426,                 1.4764,                0.92977,                0.26667,                0.29929,                0.16736,                 1.7441,                 3.6988,                 1.4646,             0.00016797,             0.00016797,             0.00016797
                     15,                 1.5202,                 2.1284,                  1.274,                0.59928,                0.26379,                0.29333,                0.15643,                 1.7668,                 3.4854,                 1.4923,             0.00017836,             0.00017836,             0.00017836
                     16,                 1.4785,                 2.1956,                 1.3051,                0.66222,                    0.2,                0.27981,                0.14446,                 1.7897,                  3.425,                 1.4829,             0.00018847,             0.00018847,             0.00018847
                     17,                 1.5698,                 2.0684,                 1.3963,                0.32877,                    0.2,                0.27611,                0.14253,                 1.8051,                 3.5315,                 1.4813,              0.0001983,              0.0001983,              0.0001983
                     18,                 1.5801,                 1.8569,                 1.3568,                0.17222,                    0.5,                 0.3227,                0.15137,                 1.7811,                 3.8108,                 1.4968,             0.00020784,             0.00020784,             0.00020784
                     19,                 1.3808,                 1.7751,                 1.3401,                0.32245,                    0.2,                0.27962,                0.13468,                 1.7842,                 3.8605,                 1.5217,              0.0002171,              0.0002171,              0.0002171
                     20,                  1.425,                 1.5983,                 1.2954,                0.34473,                0.41851,                0.35143,                0.16059,                 1.7994,                 3.6219,                  1.577,             0.00022608,             0.00022608,             0.00022608
